Institute,Academic-Program-Name,Quota,Seat-Type,Gender,Round-1-Opening-Rank,Round-1-Closing-Rank,Round-2-Opening-Rank,Round-2-Closing-Rank,Round-3-Opening-Rank,Round-3-Closing-Rank,Round-4-Opening-Rank,Round-4-Closing-Rank,Round-5-Opening-Rank,Round-5-Closing-Rank,Opening-Rank,Closing-Rank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,11022.0,11605.0,12043.0,12252.0,12126.0,13175.0,12126.0,13730.0,12126.0,14062.0,11022.0,14062.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),23136.0,23136.0,24089.0,24089.0,25124.0,25124.0,25124.0,25124.0,28093.0,28093.0,23136.0,28093.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,19816.0,21415.0,22144.0,25124.0,22144.0,26399.0,23145.0,27405.0,23145.0,27706.0,19816.0,27706.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),66674.0,66674.0,66731.0,66731.0,66731.0,66731.0,66731.0,66731.0,73632.0,73632.0,66674.0,73632.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,52937.0,64102.0,57699.0,71098.0,57699.0,72056.0,57699.0,72331.0,67259.0,73418.0,52937.0,73418.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,3118.0,3118.0,,,,,,,,,3118.0,3118.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,10096.0,10507.0,10159.0,11897.0,10159.0,11897.0,10159.0,11897.0,10347.0,12598.0,10096.0,12598.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,4623.0,4911.0,5504.0,5529.0,5504.0,5529.0,5504.0,5529.0,5529.0,5656.0,4623.0,5656.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,20730.0,22969.0,25673.0,29073.0,34724.0,38645.0,37659.0,40384.0,41077.0,42335.0,20730.0,42335.0,Assam,16,181,GFTI,181MHE
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),87945.0,87945.0,90673.0,90673.0,97172.0,97172.0,97172.0,97172.0,97172.0,97172.0,87945.0,97172.0,Assam,16,181,GFTI,181FHON
