Institute,AcademicProgramName,Quota,SeatType,Gender,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,Round6OpeningRank,Round6ClosingRank,OpeningRank,ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,10119.0,10958.0,10765.0,11690.0,10765.0,11690.0,12157.0,13158.0,12157.0,13283.0,12157.0,13458.0,10119.0,13458.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),24871.0,24871.0,25747.0,25747.0,25747.0,25747.0,25747.0,25747.0,25747.0,25747.0,25747.0,25747.0,24871.0,25747.0,Assam,16,181,GFTI,181FION
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,21209.0,23389.0,23389.0,26857.0,23389.0,26857.0,24512.0,28846.0,25173.0,29422.0,25173.0,29422.0,21209.0,29422.0,Assam,16,181,GFTI,181MION
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,68243.0,Assam,16,181,GFTI,181FIO
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,39074.0,66923.0,58197.0,73662.0,58197.0,73662.0,60893.0,77136.0,60893.0,78837.0,60893.0,80704.0,39074.0,80704.0,Assam,16,181,GFTI,181MIO
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,Assam,16,181,GFTI,181MIOP
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11151.0,12119.0,11430.0,13512.0,11430.0,13512.0,11540.0,14075.0,11540.0,14075.0,11540.0,14075.0,11151.0,14075.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,4612.0,4635.0,5377.0,5856.0,5377.0,5856.0,5377.0,6064.0,5377.0,6064.0,5377.0,6064.0,4612.0,6064.0,Assam,16,181,GFTI,181MIST
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,22205.0,23746.0,23746.0,30183.0,23746.0,30183.0,30313.0,35694.0,34370.0,37531.0,34370.0,38007.0,22205.0,38007.0,Assam,16,181,GFTI,181MIE
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),70635.0,70635.0,77452.0,77452.0,77452.0,77452.0,77452.0,77452.0,77452.0,77452.0,79678.0,79678.0,70635.0,79678.0,Assam,16,181,GFTI,181FION
