Institute,AcademicProgramName,Quota,SeatType,Gender,OpeningRank,ClosingRank,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12157,12482,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P0
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25747,27030,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P1
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,25173,29269,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P2
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),68243,71630,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P3
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,60893,80720,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P4
"Assam University, Silchar",AGRICULTURAL ENGINEERING (BTech),AI,OPEN (PwD),Gender-Neutral,2525,2525,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11540,13558,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,5377,5983,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P7
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,34370,35594,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P8
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),79678,92370,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P9
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,80557,105838,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P10
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),129629,137268,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P11
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,125600,241608,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P12
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),21049,22136,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P13
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,16550,23439,0,0,0,0,0,0,0,0,0,0,Assam,16,181,GFTI,181P14
