Institute,CollegeState,BranchShortcut,DegreeType,Quota,SeatType,Gender,PredictedClosingRank2026,InstituteType,GlobalPrestigeIndex,GlobalBranchPopularity
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,EWS,Gender-Neutral,12482,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,OBC-NCL,Female-only (including Supernumerary),27030,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,29269,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),71630,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,OPEN,Gender-Neutral,80720,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,2525,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,SC,Gender-Neutral,13558,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,AI,ST,Gender-Neutral,5983,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,EWS,Gender-Neutral,35594,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,OBC-NCL,Female-only (including Supernumerary),92370,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,OBC-NCL,Gender-Neutral,105838,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,OPEN,Female-only (including Supernumerary),137268,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,OPEN,Gender-Neutral,241608,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,SC,Female-only (including Supernumerary),22136,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,SC,Gender-Neutral,23439,GFTI,96,172
"Assam University, Silchar",ASSAM,AGRICULTURAL ENGINEERING,BTech,HS,ST,Gender-Neutral,9239,GFTI,96,172
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,EWS,Gender-Neutral,7872,GFTI,96,85
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL,Female-only (including Supernumerary),20303,GFTI,96,85
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,19394,GFTI,96,85
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),51557,GFTI,96,85
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Gender-Neutral,52073,GFTI,96,85
"Assam University, Silchar",ASSAM,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,2377,GFTI,96,85
